2,1
2,3
3,4
4,5
5,6
5,12
12,13
13,6
8,14
14,15
15,16
16,17
17,18
18,19
19,74
6,7
29,9
29,10
10,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,11
3,14
15,20
16,21
4,17
17,22
12,18
18,23
13,19
19,24
105,106
106,107
107,150
150,120
150,112
120,108
108,110
110,111
111,120
150,112
112,133
133,147
147,113
113,132
132,131
131,105
127,126
126,123
123,124
124,127
114,115
119,140
140,118
118,117
117,116
116,121
122,141
140,141
141,142
118,142
142,143
143,144
144,145
145,146
146,121
201,202
201,203
202,204
203,204
205,241
241,243
206,207
207,208
251,210
251,252
252,241
209,210
252,242
209,242
241,242
242,210
211,212
213,212
213,214
214,233
215,216
232,218
217,253
253,254
254,255
255,256
256,218
215,217
231,232
225,233
233,230
230,229
229,228
228,227
227,225
30,105
6,108
11,121
21,123
23,141
105,201
150,205
108,206
116,216
72,125
7,74
74,11
75,150
12,75
72,15
125,161
151,228
76,21
214,233
9,29
29,8
208,243
243,205
243,244
244,245
245,206
245,207
242,246
246,241
244,246
231,247
247,216
247,215
