0,46.7,-26.4,35
1,64,-26.4,35
2,96.5,-26.4,35
3,119.7,-26.4,35
4,120.2,-26.4,35
5,140.4,-26.4,35
6,167.2,-26.4,35
7,178.4,-26.4,35
8,186.8,-26.4,35
9,195.5,-26.4,35
10,178.4,-23.8,35
11,186.8,-23.8,35
12,46.7,-20.4,35
13,40,-20.4,35
14,64,-20.4,35
15,46.7,-2.3,35
16,62.9,-2.3,35
17,64,-2.3,35
18,96.5,-2.3,35
19,120.2,-2.3,35
20,140.4,-2.3,35
21,167.2,-2.3,35
22,193,-2.3,35
23,195.5,-2.3,35
24,47.2,18.1,35
25,62.9,18.1,35
26,62.9,22.5,35
27,99.1,22.5,35
28,120.2,22.5,35
29,120.2,26,35
30,140.4,26,35
31,142,26,35
32,167.2,26,35
33,193,26,35
34,65.9,-26.4,44
35,96.5,-26.4,44
36,119.7,-26.4,44
37,130.5,-26.4,44
38,140.4,-26.4,44
39,168.4,-26.4,44
40,178.7,-26.4,44
41,186.6,-26.4,44
42,195.5,-26.4,44
43,178.7,-23.5,44
44,186.6,-23.5,44
45,64,-20.4,44
46,65.9,-20.4,44
47,65.9,-5.1,44
48,96.5,-5.1,44
49,96.5,-5.1,44
50,119.7,-4.8,44
51,123,-4.8,44
52,140.4,-4.8,44
53,168.4,-4.8,44
55,195.5,-4.8,44
56,99.1,4.2,44
57,114,4.2,44
58,121.2,4.2,44
59,142,4.2,44
60,166.9,4.2,44
61,193,4.2,44
62,123,4.4,44
63,114,9,44
64,121.2,9,44
65,99.1,22.5,44
66,121.2,22.5,44
67,121.2,26,44
68,142,26,44
69,166.9,26,44
70,193,26,44
71,169.1,-26.4,52
72,178.7,-26.4,52
73,178.7,-23.5,52
74,186.6,-23.5,52
75,186.6,-26.4,52
76,193,-26.4,52
77,193,-18.8,52
78,191,-18.8,52
79,191,-4.8,52
80,169.1,-4.8,52
81,195.5,-4.8,52
83,140,-4.8,52
84,140,1.8,52
85,147,1.8,52
86,99.1,4.6,52
87,118.6,4.6,52
88,142,4.8,52
89,147,4.8,52
90,165,4.8,52
91,177.2,4.8,52
92,177.2,13.7,52
93,177.2,26,52
94,177.2,20,52
95,193,20,52
96,165,20,52
97,193,13.7,52
98,99.1,22.5,52
99,118.6,22.5,52
100,142,26,52
101,142,13,52
102,165,13,52
103,165,26,52
104,193,26,52
105,121.7,-26.4,53.5
106,130.5,-26.4,53.5
107,130.5,-13.7,53.5
108,140,-13.7,53.5
109,121.7,-4.8,53.5
110,140,-4.8,53.5
111,171,26,52
112,171,4.8,52
113,171,20,52
114,142,13,44
115,166.9,15.8,44
116,147,15.8,44
117,147,13,44
