24,25
16,25
25,26
26,27
26,28
4,19
19,28
28,29
29,30
30,31
31,32
32,33
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
22,33
13,12
0,12
12,15
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,10
10,11
8,11
8,9
1,14
14,17
2,18
5,20
20,30
6,21
21,32
65,66
66,67
67,68
68,69
69,70
59,114
114,68
61,70
60,61
60,115
115,69
115,116
116,117
117,114
58,59
58,64
63,64
64,66
57,63
56,57
56,65
47,48
35,48
34,35
34,46
46,47
51,62
51,52
52,53
53,55
42,55
36,38
38,39
39,40
38,52
39,53
40,43
43,44
41,44
41,42
98,99
86,98
87,99
86,87
100,103
103,93
97,95
95,104
92,97
88,101
101,102
90,102
102,96
96,103
88,90
90,112
112,91
112,113
113,111
85,89
84,85
83,84
83,110
80,79
79,81
76,77
71,72
72,73
73,74
75,74
75,76
71,80
78,77
109,110
109,105
108,110
107,108
106,107
105,106
105,109
27,65
65,98
33,70
70,104
9,42
2,35
5,38
31,68
68,100
55,81
14,45
9,23
45,46
92,94
94,93
96,113
94,95
78,79
110,83
89,88
89,90
37,38
65,27
