10,46.7,-26.4,35
20,64,-26.4,35
21,96.5,-26.4,35
76,119.7,-26.4,35
22,120.2,-26.4,35
23,140.4,-26.4,35
24,167.2,-26.4,35
25,178.4,-26.4,35
28,186.8,-26.4,35
11,195.5,-26.4,35
26,178.4,-23.8,35
27,186.8,-23.8,35
29,46.7,-20.4,35
9,40,-20.4,35
72,64,-20.4,35
8,46.7,-2.3,35
14,62.9,-2.3,35
15,64,-2.3,35
16,96.5,-2.3,35
17,120.2,-2.3,35
18,140.4,-2.3,35
19,167.2,-2.3,35
7,193,-2.3,35
74,195.5,-2.3,35
1,47.2,18.1,35
2,62.9,18.1,35
3,62.9,22.5,35
30,99.1,22.5,35
4,120.2,22.5,35
5,120.2,26,35
12,140.4,26,35
75,142,26,35
13,167.2,26,35
6,193,26,35
124,65.9,-26.4,44
123,96.5,-26.4,44
122,119.7,-26.4,44
151,130.5,-26.4,44
141,140.4,-26.4,44
142,168.4,-26.4,44
143,178.7,-26.4,44
146,186.6,-26.4,44
121,195.5,-26.4,44
144,178.7,-23.5,44
145,186.6,-23.5,44
125,64,-20.4,44
161,65.9,-20.4,44
127,65.9,-5.1,44
126,96.5,-5.1,44
126,96.5,-5.1,44
119,119.7,-4.8,44
115,123,-4.8,44
140,140.4,-4.8,44
118,168.4,-4.8,44
117,168.4,-4.8,44
116,195.5,-4.8,44
131,99.1,4.2,44
132,114,4.2,44
133,121.2,4.2,44
112,142,4.2,44
111,166.9,4.2,44
110,193,4.2,44
114,123,4.4,44
113,114,9,44
147,121.2,9,44
105,99.1,22.5,44
106,121.2,22.5,44
107,121.2,26,44
150,142,26,44
120,166.9,26,44
108,193,26,44
217,169.1,-26.4,52
253,178.7,-26.4,52
254,178.7,-23.5,52
255,186.6,-23.5,52
256,186.6,-26.4,52
218,193,-26.4,52
232,193,-18.8,52
231,191,-18.8,52
247,191,-4.8,52
215,169.1,-4.8,52
216,195.5,-4.8,52
226,130.5,-4.8,52
214,140,-4.8,52
213,140,1.8,52
212,147,1.8,52
203,99.1,4.6,52
204,118.6,4.6,52
210,142,4.8,52
211,147,4.8,52
242,165,4.8,52
209,177.2,4.8,52
208,177.2,13.7,52
243,177.2,26,52
244,177.2,20,52
245,193,20,52
246,165,20,52
207,193,13.7,52
201,99.1,22.5,52
202,118.6,22.5,52
205,142,26,52
251,142,13,52
252,165,13,52
241,165,26,52
206,193,26,52
227,121.7,-26.4,53.5
228,130.5,-26.4,53.5
229,130.5,-13.7,53.5
230,140,-13.7,53.5
225,121.7,-4.8,53.5
233,140,-4.8,53.5
